Timestamp,In which country are you currently located?,In which city are you currently located?,How old are you?,What is your gender?,"During your daytime activities, how much of a problem do you have with sleepiness?",What time do you try to go to sleep?,What is the main reason you go to bed at this time on weekdays?,How long does it take you to fall asleep?,What time do you wake up?,What is the main reason you wake up at this time on weekdays?,After falling asleep how long do you spend awake during the night?,How would you rate the quality of your sleep?,What external factors influenced how well you slept last night?,How rested or refreshed do you feel when you wake up for the day?,"On average, how long do you nap during each weekday?",What time does your (school) day start?,What time do you try to go to sleep?,How long does it take you to fall asleep?,What time do you wake up?,Are you free to wake up when you want on weekends?,After falling asleep how long do you spend awake during the night?,How would you rate the quality of your sleep?,How rested or refreshed do you feel when you wake up for the day?,"On average, how long do you nap each Saturday and Sunday?",How many caffeinated drinks do you have during the day?,What time do you have your last caffeinated drink?,"Each weekday, how many hours on average do you use technology (outside of school)?",How often do you use technology during the last hour before you go to sleep?,How often do you use technology after you have gone to bed?,How often do you wake up at night from notifications?,How many days did you do sport/physical activity in the morning before school?,How many days did you do sport/physical activity in the afternoon after school?,How many days did you do sport/physical activity in the evening on school days?,How many days did you do sport/physical activity on the weekend?,"If you did not have your sports or physical activity, would you go to bed earlier or later?","If you did not have your sports or physical activity, would you wake up earlier or later?",How many days did you study/do homework in the morning before school?,How many days did you study/do homework in the afternoon after school?,How many days did you study/do homework in the evening on days that you have school?,How many days did you study/do homework on the weekend?,How many hours did you study/do homework?,How often have you arrived late to class because you overslept?,"Currently, what are your grades in school mostly?","If you compare yourself to other people your age, how would you describe your health?",How often do I go to bed and think about things I need to do?,How often do I go to bed and replay the day’s events over and over in my mind?,How often do I check my clock several times during the night?,"During the 1 hour before bedtime, how often do things happen that make me feel strong emotions?",How often do I go to bed feeling upset?,How often do I go to bed and worry about things happening at home or at school?
13/08/2021 05:58:52,Australia,Perth,15,Male,1,23,I feel sleepy,100,6.5,My alarm clock wakes me up,120,3,Family/people disturbance,3,0,8.5,0.5,90,8.5,Yes,30,2,3,0,2,4.5,1-2 hours,2,3,0,2,2,0,0,Later than you usually do,The same as you usually do,1,4,4,2,,Never,A’s and B’s,1,4,5,4,4,3,4
13/08/2021 06:04:14,Australia,Perth,15,Female,1,21.5,I feel sleepy,30,6,My alarm clock wakes me up,0,4,None,3,0,8.5,22.5,0,9.5,Yes,0,4,4,0,1,7,1-2 hours,3,2,0,0,3,0,2,The same as you usually do,The same as you usually do,0,5,0,1,3,Never,A’s and B’s,4,1,1,0,1,1,1
13/08/2021 06:06:34,Australia,Perth,15,Male,1,21,My parent / carer has set my bedtime,30,6.5,My parent/carer or another family member wakes me up,0,3,Other,3,0,8,22,30,7,No,0,3,3,0,1,15.5,1-2 hours,2,0,0,5,0,0,1,The same as you usually do,The same as you usually do,0,5,5,2,3,Never,A’s and B’s,3,4,4,1,2,1,3
13/08/2021 06:09:55,Australia,Perth,16,Female,2,22.5,My parent / carer has set my bedtime,15,6.5,My parent/carer or another family member wakes me up,0,4,None,3,0,8.5,0,15,7.5,Yes,0,4,3,0,1,13.5,3-4 hours,3,2,0,0,0,4,0,The same as you usually do,The same as you usually do,0,2,3,1,,Never,B’s and C’s,1,3,4,1,1,2,4
13/08/2021 06:10:30,Australia,Perth,15,Female,1,21.5,I finish my homework,30,6.5,My alarm clock wakes me up,0,4,Noises outside your home,4,0,8.5,10,30,8.5,No,0,4,4,0,0,,3-4 hours,3,0,1,2,5,4,2,The same as you usually do,Later than you usually do,2,4,3,2,7,Never,A’s and B’s,4,3,1,0,3,2,4
13/08/2021 06:10:58,Australia,Perth,15,Male,1,23,I feel sleepy,110,18.5,My alarm clock wakes me up,50,3,Family/people disturbance,3,0,20.5,0,100,9,Yes,75,3,3,0,2,16.5,3-4 hours,2,3,0,2,2,0,1,The same as you usually do,The same as you usually do,2,5,4,2,,Twice,A’s and B’s,1,3,4,4,4,4,5
13/08/2021 06:11:45,Australia,Perth,15,Male,3,22,My parent / carer has set my bedtime,240,6,My parent/carer or another family member wakes me up,0,1,Other,1,0,8.5,23,240,12,Yes,0,1,1,0,2,8.5,5-6 hours,3,3,0,0,1,2,0,The same as you usually do,The same as you usually do,0,3,0,1,3,Everyday,B’s and C’s,3,0,3,0,5,5,5
13/08/2021 06:12:01,Australia,Perth,15,Male,3,22.5,I feel sleepy,240,6.5,My alarm clock wakes me up,40,2,Other,2,0,8.5,12,120,9,Yes,40,2,2,0,2,7,9 or more hours,2,2,0,0,0,0,0,The same as you usually do,The same as you usually do,0,2,1,0,3,Several Times,B’s and C’s,1,0,2,5,3,2,2
13/08/2021 06:12:12,Australia,Perth,15,Female,1,22,My parent / carer has set my bedtime,60,6,My alarm clock wakes me up,240,2,Other,1,5,8.5,1,30,8,No,30,2,2,0,2,10,,,,,,,,,,,0,4,5,1,,Once,B’s,,,,,,,
13/08/2021 06:13:24,Australia,Perth,15,Male,2,22.5,I finish my homework,30,7,My alarm clock wakes me up,30,4,Room too hot/cold,3,40,8.5,10.5,50,9,No,30,4,4,0,,,,,,,0,2,2,2,The same as you usually do,Later than you usually do,0,1,2,1,50,Twice,A’s and B’s,,,,,,,
13/08/2021 06:13:54,Australia,Perth,16,Female,1,21,Other,5,7,"I don’t know, I just wake up",1,5,None,3,5,8.5,10.5,10,10,No,1,5,4,0,0,,,,,,0,3,2,1,The same as you usually do,The same as you usually do,0,2,2,1,1,Never,A’s,4,2,2,0,1,0,2
13/08/2021 06:14:08,Australia,Fremantle,15,Male,1,23,Other,15,7,"I don’t know, I just wake up",0,4,None,4,0,8.5,23,15,8.5,Yes,0,5,5,0,0,,3-4 hours,2,0,0,0,1,2,1,The same as you usually do,The same as you usually do,0,4,0,2,4,Never,A’s and B’s,4,1,1,1,1,2,2
13/08/2021 06:14:50,Australia,Perth,15,Non-binary,2,22.5,My parent / carer has set my bedtime,60,6,My alarm clock wakes me up,0,3,Phone/technology noise or light,2,0,8.5,23,60,10,Yes,0,4,2,0,0,,7-8 hours,3,4,0,0,1,2,1,Earlier than you usually do,The same as you usually do,,,,,,,,2,5,2,5,5,4,5
13/08/2021 06:14:55,Australia,Fremantle,15,Male,1,22.5,I feel sleepy,30,7.5,"I don’t know, I just wake up",0,4,Noises outside your home,4,20,8.5,2,5,10.5,Yes,0,5,5,0,2,8,3-4 hours,4,1,0,5,5,0,1,Earlier than you usually do,The same as you usually do,0,0,4,2,3,Once,A’s and B’s,4,1,0,0,1,0,0
13/08/2021 06:16:12,Australia,Perth,15,Female,4,22.5,Other,30,6,My alarm clock wakes me up,20,2,Phone/technology noise or light,2,60,8.5,22,30,9,No,20,3,3,0,,,,,,,,,,,,,,5,5,2,3,Everyday,A’s and B’s,,,,,,,
13/08/2021 06:16:15,Australia,Perth,15,Prefer not to say,2,21,My parent / carer has set my bedtime,30,6,My alarm clock wakes me up,0,4,Family/people disturbance,1,0,8,10,30,10,Yes,90,4,3,0,2,17,,,,,,,,,,,2,4,4,1,3,Once,A’s and B’s,2,4,2,1,2,2,3
13/08/2021 06:22:13,Australia,Fremantle,15,Non-binary,2,22,My parent / carer has set my bedtime,15,5.5,My alarm clock wakes me up,20,4,Other,3,0,8.5,1.5,5,7,Yes,0,4,4,45,0,,7-8 hours,5,1,0,0,0,0,1,The same as you usually do,The same as you usually do,0,,3,0,3,Twice,B’s and C’s,1,5,5,4,2,1,5
13/08/2021 06:23:34,Australia,perth,16,Female,1,22,I feel sleepy,30,7,My alarm clock wakes me up,5,4,Room too hot/cold,3,0,8.5,23,30,8.5,No,5,4,3,0,1,12,1-2 hours,5,1,0,0,,5,0,Earlier than you usually do,The same as you usually do,0,5,5,1,12,Never,A’s,3,4,3,3,2,2,2
13/08/2021 06:23:51,Austria,Perth,15,Female,3,21,I feel sleepy,25,5.5,My alarm clock wakes me up,20,3,Room too hot/cold,1,0,8.5,22,20,7,No,10,3,1,0,1,9,3-4 hours,4,1,0,2,3,3,1,Later than you usually do,Later than you usually do,0,5,5,2,2,Never,B’s,2,4,4,0,3,5,5
13/08/2021 06:24:35,Australia,Perth,15,Female,1,22.5,My parent / carer has set my bedtime,15,7,My parent/carer or another family member wakes me up,20,4,Other,4,0,8.5,23,15,10.5,Yes,10,5,5,0,1,18,3-4 hours,4,0,0,0,0,0,0,Later than you usually do,Later than you usually do,0,4,4,1,7,Never,A’s and B’s,2,3,3,2,4,2,3
13/08/2021 06:25:52,Australia,Perth,16,Female,1,22.5,My parent / carer has set my bedtime,15,7.5,My alarm clock wakes me up,0,4,None,3,0,8.5,12,15,10,Yes,0,5,4,0,0,,3-4 hours,2,1,0,1,0,3,1,The same as you usually do,The same as you usually do,0,2,2,1,3,Once,A’s and B’s,4,2,2,0,2,3,2
16/08/2021 01:20:26,Australia,Fremantle,16,Female,3,10.5,I feel sleepy,10,6,My alarm clock wakes me up,0,2,Phone/technology noise or light,1,0,8.5,0,10,8,No,0,2,2,0,,,,,,,,,,,,,0,3,3,2,,Several Times,C’s,,,,,,,
16/08/2021 01:20:52,Australia,Perth,16,Female,2,23.5,My parent / carer has set my bedtime,60,7,My alarm clock wakes me up,15,2,Phone/technology noise or light,1,0,8.5,2,120,8,Yes,60,1,1,60,2,7,5-6 hours,5,5,0,0,0,1,1,Later than you usually do,Later than you usually do,0,0,2,1,2,Once,B’s and C’s,1,5,5,2,4,4,4
16/08/2021 01:22:04,Australia,Perth,16,Male,2,23,Other,30,6.5,My alarm clock wakes me up,0,3,Phone/technology noise or light,3,8,8.5,0,30,9.5,Yes,0,3,3,0,0,,5-6 hours,5,4,0,0,0,0,0,The same as you usually do,The same as you usually do,0,4,3,1,2,Twice,B’s and C’s,1,5,1,1,1,2,3
16/08/2021 01:22:22,Australia,Perth,16,Female,2,22.5,My parent / carer has set my bedtime,30,5,My alarm clock wakes me up,0,4,Other,3,150,8.5,22.5,10,6,Yes,0,3,1,150,2,19.5,5-6 hours,4,0,1,0,3,0,1,The same as you usually do,The same as you usually do,0,3,3,1,9,Everyday,B’s and C’s,1,2,4,4,4,3,5
16/08/2021 01:24:13,Australia,Australia,16,Male,3,0,I feel sleepy,10,7,My parent/carer or another family member wakes me up,0,3,Room too hot/cold,3,60,8.5,2,5,11,Yes,0,4,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2021 01:25:19,Australia,Perth,16,Male,1,21,Other,20,6.5,"I don’t know, I just wake up",0,5,None,5,0,7,12,5,7.5,No,0,3,3,0,0,13,1-2 hours,3,2,0,0,2,2,2,Earlier than you usually do,Later than you usually do,,,,,,,,,,,,,,
16/08/2021 01:26:06,Australia,Fremantle ,17,Male,1,23,I feel sleepy,5,7,My parent/carer or another family member wakes me up,0,4,None,3,5,8.5,1,5,11,Yes,0,4,2,20,3,15,5-6 hours,5,5,0,0,3,1,1,The same as you usually do,The same as you usually do,0,5,5,1,5,Twice,B’s,2,3,5,0,4,2,2
16/08/2021 01:28:16,Australia,Perth,16,Male,3,23.5,Other,20,6,My alarm clock wakes me up,0,3,Room too hot/cold,2,45,8.5,0,20,7.5,No,0,3,2,60,0,,5-6 hours,5,4,0,0,0,0,0,,,0,0,2,1,2,Never,B’s,4,5,1,0,5,5,5
16/08/2021 10:43:01,Australia,Perth,14,Male,1,21,I feel sleepy,30,7,My alarm clock wakes me up,0,3,None,2,0,8.5,23,5,9,Yes,0,5,5,0,0,,5-6 hours,5,0,0,0,2,1,1,The same as you usually do,The same as you usually do,0,3,0,1,3,Once,B’s,3,2,1,1,1,1,2
23/08/2021 01:25:36,Australia,"Islington, NSW",51,Female,1,22.5,I feel sleepy,15,8,Noises or my pet wakes me up,2,3,Other,3,0,10,11,15,9.5,Yes,2,4,3,0,2,16,5-6 hours,3,1,0,3,3,5,2,The same as you usually do,The same as you usually do,,,,,,,,3,2,2,1,1,1,1
23/08/2021 01:26:28,Australia,Melbourne,24,Non-binary,1,23,I feel sleepy,20,8,My alarm clock wakes me up,20,4,Family/people disturbance,2,0,9,23,30,9,Yes,20,3,3,0,2,15,9 or more hours,4,3,1,0,2,2,1,The same as you usually do,The same as you usually do,1,3,3,1,16,Never,A’s and B’s,3,2,2,1,2,2,3
23/08/2021 05:22:29,Australia,Melbourne,42,Male,1,23,Other,10,8,My alarm clock wakes me up,0,4,Phone/technology noise or light,3,0,9,23.5,10,10.5,Yes,0,4,3,0,0,,9 or more hours,4,2,0,0,3,4,2,The same as you usually do,The same as you usually do,,,,,,,,2,2,2,1,3,1,2
23/08/2021 21:26:50,Australia,Melbourne,35,Female,1,21.5,I feel sleepy,15,7,"I don’t know, I just wake up",0,3,None,4,0,9,21.5,15,8,Yes,0,3,4,0,2,13.5,9 or more hours,5,5,0,5,2,0,2,The same as you usually do,The same as you usually do,,,,,,,,3,1,1,1,1,1,1
27/08/2021 01:08:40,Australia,Melbourne,49,Female,2,22,I feel sleepy,2,5,Noises or my pet wakes me up,60,2,Pet disturbance,2,30,9,22,2,5,Yes,60,2,2,30,3,14.5,9 or more hours,5,2,0,,,,,,,,,,,,,,,,,,,,
27/08/2021 09:43:00,Australia,Melbourne,22,Male,1,0,Other,60,11,My alarm clock wakes me up,0,4,Family/people disturbance,3,0,12,2,60,12,Yes,0,5,4,0,1,14,7-8 hours,5,5,0,0,0,3,1,The same as you usually do,Later than you usually do,,,,,,,,3,4,3,2,3,1,3
01/09/2021 01:30:02,Australia,Perth,15,Male,0,0.5,I feel sleepy,15,6,Noises or my pet wakes me up,10,3,Noises outside your home,3,20,8.5,2,5,12,Yes,10,3,3,120,3,10,7-8 hours,3,3,3,,,,,,,,,,,,,,,,,,,,
01/09/2021 01:32:36,Australia,Perth,15,Male,3,2,I feel sleepy,10,10,Noises or my pet wakes me up,30,1,Family/people disturbance,1,30,8.5,1,45,11.5,Yes,25,1,4,120,,,,,,,,,,,,,,,,,,,,,,,,,,
07/09/2021 01:21:43,Australia,Perth,40,Male,3,23,I feel sleepy,10,6,My alarm clock wakes me up,5,4,None,4,30,8.5,23,45,8,No,25,4,4,120,5,16,9 or more hours,5,4,0,4,4,,2,The same as you usually do,The same as you usually do,0,5,5,2,10,Never,A’s,3,2,3,2,3,3,3
07/09/2021 01:24:51,Australia,Perth,27,Male,2,22,I feel sleepy,30,6,My alarm clock wakes me up,15,4,Other,1,30,9,10,30,8.5,Yes,15,4,1,30,2,7.5,9 or more hours,5,5,0,0,2,2,1,The same as you usually do,The same as you usually do,5,5,5,1,15,Several Times,A’s,3,5,0,1,1,2,2
15/09/2021 00:41:43,Australia,Fremantle,14,Male,1,22.5,I feel sleepy,20,6.5,My alarm clock wakes me up,0,4,None,3,0,7.5,12.5,40,11,Yes,0,4,3,0,,,9 or more hours,5,4,0,2,5,3,2,The same as you usually do,The same as you usually do,2,3,3,1,2,Twice,A’s and B’s,,,,,,,
15/09/2021 00:42:27,Australia,Perth,14,Male,1,22.5,I feel sleepy,45,6.5,"I don’t know, I just wake up",60,4,None,4,0,8.5,1,20,6.5,Yes,10,5,3,0,2,1.5,3-4 hours,4,3,0,0,0,0,1,The same as you usually do,The same as you usually do,1,3,2,1,6,Never,B’s and C’s,1,1,3,1,3,1,3
15/09/2021 00:42:31,Australia,Perth,14,Male,0,21,I feel sleepy,15,7,My alarm clock wakes me up,10,4,Phone/technology noise or light,4,0,8.5,22,30,8.5,Yes,0,5,4,0,0,15.5,3-4 hours,2,2,0,2,3,1,2,The same as you usually do,The same as you usually do,0,2,3,2,3,Never,A’s and B’s,3,2,1,0,2,0,1
15/09/2021 00:43:21,Australia,Perth ,14,Female,1,21.5,Other,40,6,My parent/carer or another family member wakes me up,10,3,Other,3,0,8.5,21.5,50,7.5,Yes,5,3,4,0,1,16.5,3-4 hours,1,0,0,0,2,3,2,The same as you usually do,The same as you usually do,0,1,1,1,2,Never,A’s and B’s,3,4,3,3,1,1,2
15/09/2021 00:43:39,Australia,Perth,14,Female,2,22.5,Other,20,6.5,My alarm clock wakes me up,20,3,None,3,0,7,23.5,10,10,Yes,0,5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15/09/2021 00:44:18,Australia,Perth ,14,Female,3,22.5,I finish my homework,20,5,My alarm clock wakes me up,40,2,Room too hot/cold,1,15,8.5,2,20,7,Yes,20,1,1,15,1,6.5,5-6 hours,5,5,3,1,3,,1,The same as you usually do,The same as you usually do,3,5,3,2,2,Several Times,A’s and B’s,3,5,5,5,5,4,5
15/09/2021 00:44:53,Australia,Perth,14,Male,0,22,I feel sleepy,20,6,My alarm clock wakes me up,0,4,None,4,0,8.5,11,20,7,Yes,0,5,5,0,,,5-6 hours,3,2,0,,,,,,,,,,,,,,,,,,,,
15/09/2021 00:45:03,Australia,Fremantle,14,Non-binary,4,22.5,My parent / carer has set my bedtime,230,5.5,"I don’t know, I just wake up",120,2,Other,1,160,8.5,0,240,8.5,No,240,2,1,60,2,6,3-4 hours,1,0,0,0,3,0,1,The same as you usually do,The same as you usually do,2,1,5,1,2,Once,B’s and C’s,1,3,3,4,5,5,4
15/09/2021 00:45:27,Australia,Perth,15,Female,0,21.5,My brother or sister go to bed,30,6.5,Noises or my pet wakes me up,20,3,None,2,0,8.5,23.5,20,19,Yes,10,3,3,0,0,13,3-4 hours,3,0,1,0,5,3,2,The same as you usually do,The same as you usually do,0,5,4,1,2,Never,A’s and B’s,3,5,5,3,4,3,4
15/09/2021 00:45:40,Australia,Perth,15,Male,1,0,Other,30,6.5,"I don’t know, I just wake up",30,3,Other,2,0,8.5,0,60,9,Yes,60,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15/09/2021 00:47:02,Australia,australia,15,Female,2,23,My parent / carer has set my bedtime,90,7,My parent/carer or another family member wakes me up,0,3,Other,3,0,8.5,11.5,90,9,Yes,0,2,2,0,0,,5-6 hours,4,1,0,,,,,,,,,,,,,,,,,,,,
15/09/2021 00:47:09,Australia,Perth ,14,Male,2,21,My parent / carer has set my bedtime,60,6,Other,60,3,Phone/technology noise or light,3,0,7,0,45,8,Yes,45,3,3,0,0,,7-8 hours,4,3,1,0,2,2,0,The same as you usually do,The same as you usually do,0,0,3,0,4,Never,B’s,3,4,3,5,4,3,4
15/09/2021 00:50:20,Australia,perth,14,Male,1,9.5,I feel sleepy,60,7.5,"I don’t know, I just wake up",0,4,None,5,0,8.5,11,30,7,No,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15/09/2021 00:50:41,Australia,Perth,14,Male,2,22,I feel sleepy,30,6.5,My alarm clock wakes me up,0,4,Room too hot/cold,2,0,8.5,23,30,7.5,No,0,2,2,0,3,20.5,3-4 hours,5,4,0,0,4,4,2,Later than you usually do,Earlier than you usually do,1,2,2,1,2,Several Times,C’s,3,3,3,3,2,3,1
15/09/2021 00:53:12,Australia,Perth,14,Female,3,19,I feel sleepy,60,6,My parent/carer or another family member wakes me up,120,3,Family/people disturbance,2,40,8.5,9,20,8,No,60,4,4,40,1,6.5,5-6 hours,0,1,0,0,1,2,0,The same as you usually do,Earlier than you usually do,5,5,5,1,9,Once,A’s and B’s,,,,,,,
15/09/2021 01:41:32,Australia,Perth,14,Female,2,9.5,I finish socialising,20,5.5,My alarm clock wakes me up,5,3,Other,1,0,8.5,9.5,20,8.5,Yes,5,3,2,15,,,,,,,,,,,,,0,4,4,1,2,Twice,B’s and C’s,2,3,3,3,3,2,3
15/09/2021 01:41:47,Australia,Perth,15,Female,1,22,My parent / carer has set my bedtime,30,6,My alarm clock wakes me up,30,3,Other,1,0,8.5,0,30,7,No,30,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15/09/2021 01:41:53,Australia,Perth,15,Female,2,22,My parent / carer has set my bedtime,40,7,My alarm clock wakes me up,30,3,Family/people disturbance,1,0,8.5,23.5,20,9.5,Yes,0,4,5,0,2,16.5,5-6 hours,3,3,0,,,,,,,,,,,,,,3,5,3,5,2,3,5
15/09/2021 01:42:08,Australia,Perth,14,Male,2,23,Other,40,6.5,My alarm clock wakes me up,180,2,Phone/technology noise or light,1,0,8.5,9.5,100,7,No,180,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
